id,order,stage,stage_label,question
q001,1,childhood,童年与少年时光,您人生中最早的记忆是什么？那时候大概几岁，是在哪个地方？
q002,2,childhood,童年与少年时光,童年时，谁主要负责照顾和管教您？他们是什么性格的人？
q003,3,childhood,童年与少年时光,小时候您住的地方是什么样的？您还有印象吗？比如窗外的景色、家里的布置
q004,4,childhood,童年与少年时光,小时候家里有几口人，大家平时怎么相处的？
q005,5,childhood,童年与少年时光,童年时，您最要好的玩伴是谁？你们在一起最爱干什么，后来还有联系吗？
q006,6,childhood,童年与少年时光,除了玩伴，小时候家里或邻居家有没有一个您特别喜欢的大人？您喜欢他什么呢？
q007,7,childhood,童年与少年时光,小时候，家里有没有一个固定的传统或习惯——比如每年必须做的事、必须去的地方、必须吃的食物？
q008,8,childhood,童年与少年时光,上小学时，您最擅长和最不擅长的科目分别是什么？
q009,9,childhood,童年与少年时光,小时候您觉得自己是个什么样的学生？
q010,10,childhood,童年与少年时光,小时候您干过的最调皮、后果最严重的一件事是什么？后来是怎么收场的？
q012,12,childhood,童年与少年时光,小时候，有没有一只动物在您的记忆里留下了很深的印象？它和您之间有什么故事？
q013,13,childhood,童年与少年时光,以前条件都不富裕，小孩有个玩具能高兴半天。您小时候，得到过的最宝贝的一件东西是什么？是怎么得来的？
q014,14,childhood,童年与少年时光,小学的时候，您有没有暗恋或特别喜欢过某个人？后来你们怎么样了？
q015,15,childhood,童年与少年时光,有没有一个「第一次」让您印象极深——比如第一次独自出门、第一次上台、第一次觉得自己长大了？
q016,16,youth,求学与青春岁月,上了中学之后，您最好的朋友是谁？你们是怎么成为朋友的，后来你们的关系怎么样了？
q017,17,youth,求学与青春岁月,青春时期，有没有一位老师对您影响最大？他做了什么或说了什么，让您记到现在？
q018,18,youth,求学与青春岁月,中学阶段，您做过的最叛逆或最出格的一件事是什么？那时候自己是怎么想的？
q019,19,youth,求学与青春岁月,您年轻时的第一个暗恋对象或真正喜欢的人是谁？他是一个什么样的人，后来你们怎么样了？
q020,20,youth,求学与青春岁月,青春时期，有没有一本书、一部电影或一首歌，真正改变了您看待某件事的方式？
q021,21,youth,求学与青春岁月,有没有一次考试、选拔或机会，结果改变了您后来的人生走向？
q022,22,youth,求学与青春岁月,您年轻时有没有一个特别想成为的人？为什么想成为他？
q023,23,youth,求学与青春岁月,您年轻那会儿，社会上正流行什么新鲜玩意儿呀？当时家里的老辈人能看得惯你们年轻人的这些新时尚和新想法吗？
q024,24,youth,求学与青春岁月,求学阶段，有没有一个人曾经在关键时刻帮了您一把？那件事对后来产生了什么影响？
q025,25,youth,求学与青春岁月,您是什么时候开始自己赚钱的？挣到的第一笔靠自己挣的钱，您拿去做了什么？
q026,26,youth,求学与青春岁月,年轻的时候，大家都难免跟别人有过些误会。有没有哪次误会，后来大家把话说开了，反而感情更深的？
q027,27,youth,求学与青春岁月,在您离开家或离开学校、开始独立生活的时候，内心最大的感受是什么？
q028,28,youth,求学与青春岁月,咱们年轻时做的很多决定，其实都是机缘巧合。现在回想起来，当年哪个顺其自然的决定，反倒成了您后来的一件幸事？
q029,29,middle_age,青年奋斗与成家立业,您成年后第一份真正投入的事业或主要精力去处是什么？您是怎么开始做这件事的？
q030,30,middle_age,青年奋斗与成家立业,在事业上，有没有一个人给了您关键的机会或引路？他为什么愿意帮您？
q031,31,middle_age,青年奋斗与成家立业,除了咱们自己家里人，您这辈子有没有交过那种‘过命交情’的朋友？或者平时不怎么联系、但一有事绝对能顶上的老哥们或者老姐妹？
q032,32,middle_age,青年奋斗与成家立业,干了这么多年，在您工作或者干活的这个圈子里，大家最佩服您的一点是什么？是手脚麻利、脑子活，还是脾气好？
q033,33,middle_age,青年奋斗与成家立业,您有没有经历过一段经济上特别拮据或特别宽裕的时期？那段日子改变了您对金钱的看法吗？
q034,34,middle_age,青年奋斗与成家立业,有没有一个决定，当时周围大多数人都不看好，但您还是做了？后来结果如何？
q035,35,middle_age,青年奋斗与成家立业,在您最困难的时候，谁拉了您一把？后来您有没有机会以某种方式帮回去？
q036,36,middle_age,青年奋斗与成家立业,在您投入最多心血的事上，有没有什么时候您真的想过放弃？是什么让您坚持了下来？
q037,37,middle_age,青年奋斗与成家立业,如果说这辈子有一件事「教会了您最多」，那件事是什么？它教会您的是什么？
q038,38,middle_age,青年奋斗与成家立业,您有没有一个瞬间，突然发现自己说话、做事的方式，和当年抚养您的那个人一模一样？当时您是什么感受？
q039,39,middle_age,青年奋斗与成家立业,有没有一个人对您说过一句话，让您记了一辈子——那句话改变了您对人或对自己的看法？
q040,40,middle_age,中年深耕与转折,您干您这一行这么多年，肯定遇到过那种‘别人都觉得干不成’的硬骨头。您当时是怎么把它啃下来的？
q041,41,middle_age,中年深耕与转折,一辈子这么长，身边的人来来去去。有没有哪个以前常走动的老相识，后来因为大家都忙，或者搬了家，慢慢就断了联系的？
q042,42,middle_age,中年深耕与转折,您和抚养您长大的人，关系在您中年时经历过怎样的变化？现在回头看，您怎么理解他？
q043,43,middle_age,中年深耕与转折,有没有一个人，您曾经非常在乎，但后来因为什么原因走散了？如果现在有机会再见一面，您最想说什么？
q044,44,middle_age,中年深耕与转折,年轻的时候咱们懂的少，有些事现在回想起来，可能会觉得‘当时要是换个做法就好了’。您有没有过这种时候？
q045,45,middle_age,中年深耕与转折,这辈子走过来，要是您心里有事儿、觉得憋屈，您最愿意找谁倒倒苦水、喝杯茶呀？
q046,46,middle_age,中年深耕与转折,当年在您工作的地方，有没有哪个人能力也特别强，或者是出了名的拼命三郎，能跟您比一比的？
q047,47,middle_age,中年深耕与转折,您这一代人，很多人都是一个工作一直做到老，但是也有人中途换了营生。您有换过工作或者岗位吗，跨度最大的一次是什么？
q048,48,middle_age,中年深耕与转折,有没有一个时刻，您突然意识到「抚养我长大的那个人真的老了」？那一刻您心里是什么感受？
q049,49,middle_age,中年深耕与转折,如果有一个人因为您的存在，人生发生了好的改变，您觉得那个人是谁？发生了什么？
q050,50,middle_age,中年深耕与转折,人到中年，上有老下有小。那时候您觉得，日子过成什么样，就算是对得起一家老小了？
q051,51,middle_age,中年深耕与转折,您交过那么多朋友。如果现在能神奇地把以前的一位老朋友请到您面前喝杯茶，您最想见谁呀？
q053,53,middle_age,中年深耕与转折,要是现在的您，能给当年那个正处在岔路口、或者做错了决定的自己打个电话，您会用哪句话去宽慰宽慰他/她？
q054,54,middle_age,中年深耕与转折,您觉得这一生，您做过的最正确的一个决定是什么？当时您为什么敢做那个决定？
q055,55,middle_age,中年深耕与转折,您看现在年轻人的很多活法，跟当年完全不一样了。当年大家觉得‘砸锅卖铁也得做’的事，现在年轻人都不怎么在乎了，您觉得哪件事变化最大？
q056,56,middle_age,中年深耕与转折,您希望自己更早明白的一个道理是什么？您是在什么时候、因为什么才明白的？
q057,57,middle_age,中年深耕与转折,回头看，有没有一些事，年轻时的您觉得「绝对接受不了」，但现在觉得「其实也没什么」？
q058,58,middle_age,中年深耕与转折,常言道‘谋事在人成事在天’，您这辈子办成的事儿里，哪一件是全凭您咬着牙、不信邪给干成的？
q059,59,middle_age,中年深耕与转折,咱们把大半辈子都奉献给家里了，退休后终于有自己的时间了。接下来这两年，您有没有什么想去转转的地方，或者想尝试的小心愿呀？
q060,60,middle_age,中年深耕与转折,回顾一生，您最感激的人是谁？如果只能当面说一句谢谢，您会说什么？
q061,61,middle_age,中年深耕与转折,如果现在有一个年轻人来问您「人和人之间，最重要的是什么」，您会怎么回答？
q062,62,middle_age,中年深耕与转折,如果现在有一个18岁的年轻人坐在您面前，您最想告诉他的三件事是什么？
q063,63,middle_age,中年深耕与转折,如果让您把自己前半生总结出来的经验，变成一句最实用的话送给小伟（子女），您会叮嘱他什么？
q064,64,middle_age,中年深耕与转折,等以后您的重孙子、重外孙女长大了，您最希望他们记住太爷爷/太姥爷是一个什么样人品的人？
